NUMBER,SCRIPT_ID,IMDB,TITLE,YEAR,GROSS,GENRE,AWARD,NOTES,X
444,2924,tt0181689,Minority Report,2002,197,sci-fi,2,,
445,2927,tt0790686,Mirrors,2008,37,horror,1,,
446,2930,tt0100157,Misery,1990,126,horror,3,,
447,1165,tt0183523,Mission to Mars,2000,98,sci-fi,1,,
448,2933,tt0117060,Mission: Impossible,1996,356,action,1,,
449,2935,tt0120755,Mission: Impossible II,2000,347,action,1,,
450,1166,tt0166276,Monkeybone,2001,8,sci-fi,1,,
451,2946,tt1182345,Moon,2009,5,sci-fi,3,,
452,2947,tt1748122,Moonrise Kingdom,2012,49,drama,3,,
453,2949,tt0093565,Moonstruck,1987,179,comedy,3,,
455,1169,tt0780571,Mr. Brooks,2007,36,horror,1,,
458,2957,tt0119280,Mrs Brown,1997,17,drama,3,,
459,2962,tt0166924,Mulholland Drive,2001,11,drama,3,,
460,2964,tt0140397,Mumford,1999,7,drama,1,,
461,2968,tt0166943,Music of the Heart,1999,25,drama,3,,
462,2969,tt0110604,Mute Witness,1995,2,horror,1,,
463,1179,tt0119738,My Best Friend's Wedding,1997,240,comedy,3,,
464,1178,tt0102492,My Girl,1991,123,drama,1,,
465,4670,tt0110613,My Girl 2,1994,34,drama,1,,
466,2976,tt0132347,Mystery Men,1999,50,comedy,1,,
468,2980,tt0073440,Nashville,1975,NA,drama,3,,
469,1185,tt0110632,Natural Born Killers,1994,104,drama,3,,
470,4688,tt0074958,Network,1976,NA,drama,3,,
471,4691,tt0111686,New Nightmare,1994,37,horror,1,,
472,1190,tt0435705,Next,2007,22,action,1,,
473,2996,tt0195945,Next Friday,2000,92,comedy,1,,
474,2998,tt0113972,Nick of Time,1995,16,action,0,,
475,3014,tt1186367,Ninja Assassin,2009,44,action,0,,
477,4711,tt0113987,Nixon,1995,27,drama,3,,
478,3019,tt1411238,No Strings Attached,2011,77,comedy,1,,
480,3020,tt0125439,Notting Hill,1999,198,comedy,3,,
482,3024,tt0171580,Nurse Betty,2000,40,comedy,3,,
483,4730,tt0190590,O Brother Where Art Thou?,2000,73,action,3,,
484,3027,tt1197628,Observe and Report,2009,27,comedy,1,,
485,3028,tt1198138,Obsessed,2009,79,horror,1,,
486,3029,tt0240772,Ocean's Eleven,2001,281,crime,1,,
